video_id,break_index,raw_timestamp,position_sec,position_hms,inserted_by,has_warning,ad_type,screenshot,note
bv2iwq17LVY,1,0:22:15:30,1335,0:22:15,manual,FALSE,,bv2iwq17LVY.png,
bv2iwq17LVY,2,0:22:15:41,1335,0:22:15,manual,FALSE,,bv2iwq17LVY.png,duplicate of #1 (gap 0.4s; YouTube min gap 30s)
bv2iwq17LVY,3,0:46:40:27,2800,0:46:40,manual,FALSE,,bv2iwq17LVY.png,
bv2iwq17LVY,4,0:56:58:21,3418,0:56:58,manual,FALSE,,bv2iwq17LVY.png,
bv2iwq17LVY,5,0:57:00:45,3420,0:57:00,manual,FALSE,,bv2iwq17LVY.png,duplicate of #4 (gap 2.2s; YouTube min gap 30s)
bv2iwq17LVY,6,1:00:28:24,3628,1:00:28,manual,FALSE,,bv2iwq17LVY.png,
8zzMPgZ6bC8,1,14:21:58,861,0:14:21,manual,FALSE,,8zzMPgZ6bC8.png,
8zzMPgZ6bC8,2,33:35:56,2015,0:33:35,manual,TRUE,,8zzMPgZ6bC8.png,YouTube placement warning shown in Studio
yeahBDJu-Xg,1,09:52:02,592,0:09:52,manual,FALSE,,yeahBDJu-Xg.png,
yeahBDJu-Xg,2,16:12:04,972,0:16:12,manual,FALSE,,yeahBDJu-Xg.png,
4ZYJdZRvDwo,1,01:24:28,84,0:01:24,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,2,06:20:08,380,0:06:20,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,3,09:07:19,547,0:09:07,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,4,12:22:06,742,0:12:22,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,5,17:35:14,1055,0:17:35,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,6,22:57:28,1377,0:22:57,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,7,27:11:05,1631,0:27:11,manual,FALSE,,4ZYJdZRvDwo.png,
4ZYJdZRvDwo,8,31:12:25,1872,0:31:12,manual,FALSE,,4ZYJdZRvDwo.png,
4isid3PNoA8,1,02:59:12,179,0:02:59,manual,FALSE,,4isid3PNoA8.png,
4isid3PNoA8,2,06:35:22,395,0:06:35,manual,FALSE,,4isid3PNoA8.png,
4isid3PNoA8,3,12:20:14,740,0:12:20,manual,FALSE,,4isid3PNoA8.png,
4isid3PNoA8,4,18:55:14,1135,0:18:55,manual,FALSE,,4isid3PNoA8.png,
27WNi57l-L8,1,02:31:42,151,0:02:31,manual,FALSE,,27WNi57l-L8.png,
27WNi57l-L8,2,17:49:54,1069,0:17:49,manual,FALSE,,27WNi57l-L8.png,
27WNi57l-L8,3,30:38:24,1838,0:30:38,manual,FALSE,,27WNi57l-L8.png,
27WNi57l-L8,4,43:45:41,2625,0:43:45,manual,FALSE,,27WNi57l-L8.png,
27WNi57l-L8,5,49:10:36,2950,0:49:10,manual,FALSE,,27WNi57l-L8.png,
IfqMm5O2yKI,1,0:05:53:31,353,0:05:53,manual,FALSE,,IfqMm5O2yKI.png,
IfqMm5O2yKI,2,0:19:06:37,1146,0:19:06,manual,FALSE,,IfqMm5O2yKI.png,
IfqMm5O2yKI,3,0:31:09:23,1869,0:31:09,manual,TRUE,,IfqMm5O2yKI.png,YouTube placement warning shown in Studio
IfqMm5O2yKI,4,0:40:01:03,2401,0:40:01,manual,TRUE,,IfqMm5O2yKI.png,YouTube placement warning shown in Studio
IfqMm5O2yKI,5,0:50:32:57,3032,0:50:32,manual,FALSE,,IfqMm5O2yKI.png,
IfqMm5O2yKI,6,1:00:10:17,3610,1:00:10,manual,FALSE,,IfqMm5O2yKI.png,
IfqMm5O2yKI,7,1:04:05:54,3845,1:04:05,manual,FALSE,,IfqMm5O2yKI.png,
ROzfh_3D5Jo,1,0:12:05:04,725,0:12:05,manual,FALSE,,ROzfh_3D5Jo.png,
ROzfh_3D5Jo,2,0:30:52:25,1852,0:30:52,manual,FALSE,,ROzfh_3D5Jo.png,
ROzfh_3D5Jo,3,0:39:32:18,2372,0:39:32,manual,FALSE,,ROzfh_3D5Jo.png,
ROzfh_3D5Jo,4,0:48:25:07,2905,0:48:25,manual,FALSE,,ROzfh_3D5Jo.png,
